Fecha,SKU,Categoria,Material,Costo_Adquisicion,Precio_Venta,Cantidad,Cliente,Ciudad
2026-04-03,PUL-PLA-8040,Pulseras,Plata 925,37.65,63.88,1,Amparo Olivé Villaverde,Teruel
2025-09-21,PEN-ACE-4548,Pendientes,Acero con Baño PVD,26.56,69.73,1,Javi Madrid Uría,Navarra
2025-08-29,ANI-ACE-8012,Anillos,Acero 316L,41.02,68.54,1,Javier del Coloma,Barcelona
2026-05-10,PUL-ACE-2426,Pulseras,Acero con Baño PVD,29.42,59.57,1,Jennifer Arco-Priego,Toledo
2025-06-02,ANI-PLA-9694,Anillos,Plata 925,22.43,38.2,1,Juan Carlos Larrañaga Piquer,Guadalajara
2025-06-09,COL-PLA-6974,Collares,Plata 925,27.9,70.21,2,Tiburcio Saavedra Benavente,Guipúzcoa
2025-07-20,PEN-ACE-4014,Pendientes,Acero 316L,40.24,84.9,1,Marciano Iriarte Cepeda,Toledo
2026-01-19,COL-ACE-3117,Collares,Acero con Baño PVD,38.72,111.46,1,Débora Zorrilla Gibert,Navarra
2025-09-08,PEN-PLA-7403,Pendientes,Plata 925,37.11,73.86,1,Natividad Gimenez Berrocal,Cantabria
2025-11-28,COL-ACE-5377,Collares,Acero con Baño PVD,17.57,51.42,1,Jonatan del Bosch,Guipúzcoa
2025-09-05,COL-ACE-5931,Collares,Acero 316L,38.6,90.73,1,Delfina Fernández Morales,Castellón
2025-08-09,PEN-ACE-3471,Pendientes,Acero 316L,28.48,53.65,3,Ofelia Amigó Fuster,Lugo
2026-04-02,PUL-PLA-2581,Pulseras,Plata 925,22.44,36.87,1,Bautista del Esparza,Valencia
2026-04-27,PEN-PLA-8465,Pendientes,Plata 925,24.77,73.84,3,Bruno Real Alegria,Ourense
2026-02-19,COL-ACE-5452,Collares,Acero con Baño PVD,22.59,53.92,2,Pío Puig Rivero,Tarragona
2025-07-11,PUL-PLA-6736,Pulseras,Plata 925,36.78,92.08,1,María de Sosa,Málaga
2026-01-31,ANI-ACE-7040,Anillos,Acero 316L,22.52,41.81,1,Victoria Riera Ferrando,Valladolid
2025-07-11,PUL-PLA-3337,Pulseras,Plata 925,18.29,49.93,3,Inocencio Oliver Trujillo,Palencia
2026-04-30,PEN-PLA-7598,Pendientes,Plata 925,37.77,70.76,5,Mónica Uriarte Ferrer,Sevilla
2025-10-10,PEN-ACE-6946,Pendientes,Acero con Baño PVD,21.08,59.33,1,Vasco Navarro Alarcón,Guadalajara
2025-11-06,PEN-ACE-8855,Pendientes,Acero 316L,33.41,89.32,2,Dan Elías Tomás,Lleida
2025-07-26,ANI-PLA-7584,Anillos,Plata 925,29.47,85.39,1,Eliana del González,Melilla
2025-09-10,ANI-PLA-8084,Anillos,Plata 925,30.87,64.3,1,Sabas Melero Gonzalez,Baleares
2026-04-24,ANI-ACE-3505,Anillos,Acero con Baño PVD,40.01,103.44,1,Rosendo Gonzalo Arroyo,Cáceres
2025-08-08,PEN-ACE-4259,Pendientes,Acero con Baño PVD,36.28,106.98,1,Fausto Ibáñez Expósito,Girona
2025-07-18,ANI-ACE-3309,Anillos,Acero 316L,29.86,83.65,1,Ana Sofía Montalbán Arcos,Huelva
2026-01-22,PUL-ACE-7633,Pulseras,Acero 316L,22.2,43.81,1,Andrés Felipe Pol-Velasco,Palencia
2026-01-13,COL-ACE-1498,Collares,Acero 316L,19.34,56.25,1,Josué Gonzalez Cruz,Barcelona
2025-06-02,PUL-ACE-3527,Pulseras,Acero 316L,44.13,103.42,1,Reyna Tomasa Bernal Bustos,Málaga
2026-02-23,ANI-ACE-4619,Anillos,Acero 316L,31.33,52.56,2,Celestino Rebollo Cabello,Jaén
2026-05-26,ANI-ACE-4027,Anillos,Acero con Baño PVD,44.74,112.24,1,Reyes de Codina,Barcelona
2025-08-07,PUL-ACE-6056,Pulseras,Acero 316L,20.31,37.98,2,Osvaldo Valero Ibarra,Teruel
2025-07-16,PEN-PLA-9385,Pendientes,Plata 925,20.65,50.9,1,Nicanor Castañeda Trujillo,Pontevedra
2025-12-28,PUL-ACE-8708,Pulseras,Acero con Baño PVD,39.1,92.95,1,Javi Lerma Barba,Albacete
2026-02-11,COL-PLA-3083,Collares,Plata 925,17.6,39.61,3,Juan Francisco Bonilla-Hierro,Madrid
2025-09-18,PEN-PLA-5874,Pendientes,Plata 925,20.07,43.63,2,Úrsula Ribas Aguiló,Ávila
2025-06-25,PUL-ACE-2873,Pulseras,Acero con Baño PVD,15.53,28.27,1,Anselmo de Bayo,Segovia
2025-06-21,PUL-ACE-2081,Pulseras,Acero 316L,40.27,84.4,1,Cleto Canals Salmerón,Ciudad
2025-07-17,PUL-ACE-9401,Pulseras,Acero 316L,28.07,56.63,1,Mauricio Eustaquio Bautista Mate,Barcelona
2026-03-24,ANI-ACE-9111,Anillos,Acero con Baño PVD,19.15,34.34,1,Melisa Palomar Velázquez,Badajoz
2025-08-01,COL-PLA-4666,Collares,Plata 925,32.94,66.14,1,Delia Girona,Cuenca
2026-04-03,ANI-ACE-1151,Anillos,Acero 316L,16.7,29.84,2,Carlota Delgado Mosquera,Ávila
2025-07-01,PUL-ACE-1186,Pulseras,Acero con Baño PVD,29.93,62.3,1,Virginia Burgos Bonilla,Huelva
2025-11-26,ANI-ACE-9716,Anillos,Acero 316L,37.32,110.97,1,Timoteo Orozco Salvador,Álava
2026-01-20,COL-PLA-6981,Collares,Plata 925,38.14,90.28,1,Chus Villena Reig,Cáceres
2026-02-26,ANI-ACE-3376,Anillos,Acero 316L,22.2,41.21,1,Zaira Garcia Conesa,Soria
2025-07-12,ANI-PLA-5197,Anillos,Plata 925,30.08,48.53,2,Claudio Vera Méndez,Baleares
2026-01-04,PEN-PLA-9005,Pendientes,Plata 925,24.35,54.95,1,Santiago Romero Barba,La Coruña
2025-08-12,ANI-PLA-6172,Anillos,Plata 925,21.01,41.92,1,Inés del Ledesma,Salamanca
2026-03-27,PEN-ACE-3771,Pendientes,Acero 316L,15.18,24.67,4,Marcelino Diaz Bravo,Ávila
2026-05-30,PUL-PLA-8372,Pulseras,Plata 925,21.79,53.84,1,Chus Barros Lladó,Navarra
2025-08-05,PEN-ACE-5254,Pendientes,Acero 316L,39.18,104.38,4,Leoncio Pareja Bermejo,Zamora
2026-05-05,PUL-ACE-5485,Pulseras,Acero con Baño PVD,18.24,41.46,2,Marco Iglesia,Ciudad
2026-04-14,PEN-ACE-6998,Pendientes,Acero 316L,19.95,45.84,1,Zaida Acedo Vall,Murcia
2025-07-17,ANI-ACE-2640,Anillos,Acero con Baño PVD,44.33,122.05,3,Héctor del Nicolau,Alicante
2026-01-13,PUL-ACE-2965,Pulseras,Acero 316L,26.06,75.67,1,Tamara Robles Ángel,Murcia
2025-06-02,COL-ACE-1084,Collares,Acero 316L,29.41,52.42,1,Fausto Llanos Martinez,Guipúzcoa
2025-07-24,PUL-ACE-6635,Pulseras,Acero 316L,34.72,52.08,2,Heriberto Ferrero,Girona
2026-02-01,PUL-PLA-5730,Pulseras,Plata 925,43.71,86.06,5,Dorotea Arnaiz Alvarado,Almería
2026-05-24,COL-ACE-7722,Collares,Acero 316L,19.64,38.2,1,Ramón Piñol Somoza,Huesca
2025-11-12,PUL-PLA-7114,Pulseras,Plata 925,22.91,62.09,1,Clara Valenzuela Donaire,Las Palmas
2026-04-14,PUL-PLA-2285,Pulseras,Plata 925,37.93,76.28,1,Nidia Morillo Pozo,Vizcaya
2026-03-31,ANI-PLA-8660,Anillos,Plata 925,17.21,38.67,1,Odalis Santos Salazar,Ávila
2026-05-19,PUL-ACE-2466,Pulseras,Acero con Baño PVD,27.39,43.15,1,Amelia Sureda Lorenzo,Lugo
2025-09-01,ANI-PLA-9416,Anillos,Plata 925,33.99,96.59,1,Apolinar Ros Álvarez,Madrid
2026-01-02,COL-PLA-2763,Collares,Plata 925,32.7,84.19,1,Eva Álamo Caparrós,León
2025-09-07,ANI-ACE-3226,Anillos,Acero con Baño PVD,43.22,100.11,2,María Ángeles Polo Silva,Granada
2026-05-08,PEN-ACE-4425,Pendientes,Acero 316L,35.39,70.61,1,Herminio Gisbert,Cantabria
2026-05-30,PEN-PLA-6519,Pendientes,Plata 925,31.25,75.98,1,Beatriz Vilanova Tudela,Málaga
2025-07-25,ANI-ACE-5583,Anillos,Acero con Baño PVD,29.33,87.23,1,María Teresa Asensio Barral,León
2025-10-21,ANI-ACE-1640,Anillos,Acero con Baño PVD,38.55,114.78,1,Amor Eva María Prats Vilaplana,Badajoz
2025-12-22,ANI-ACE-3469,Anillos,Acero 316L,22.62,39.8,2,Espiridión Sanz Naranjo,Valencia
2026-05-20,COL-PLA-2218,Collares,Plata 925,28.23,79.34,3,Calisto Vélez Tomas,Vizcaya
2025-10-12,PUL-PLA-5117,Pulseras,Plata 925,21.13,41.38,1,Dorotea Porras,Granada
2025-06-26,COL-PLA-1692,Collares,Plata 925,15.46,37.44,2,Pablo Ortiz Suarez,Cuenca
2025-09-03,PUL-ACE-3014,Pulseras,Acero 316L,21.21,56.92,1,Eusebio Aroca,Tarragona
2026-02-27,PEN-ACE-7615,Pendientes,Acero con Baño PVD,17.87,47.18,2,Lola del Madrid,Ceuta
2025-07-25,PEN-ACE-5558,Pendientes,Acero 316L,40.45,90.5,3,Lupe Huerta Fabregat,Segovia
2026-02-01,PUL-ACE-6516,Pulseras,Acero con Baño PVD,39.15,93.54,2,Teófila Herrero,Salamanca
2025-10-14,PEN-ACE-8607,Pendientes,Acero con Baño PVD,29.9,46.91,1,Jose Manuel Milla Morante,Baleares
2025-11-13,ANI-ACE-2773,Anillos,Acero con Baño PVD,40.23,109.39,5,Gaspar Pont,Albacete
2025-10-13,PUL-ACE-1248,Pulseras,Acero 316L,41.84,107.0,3,Victoria Álvaro Francisco,Lleida
2025-11-16,PUL-PLA-2129,Pulseras,Plata 925,29.14,70.64,1,Geraldo Lopez Ribera,Girona
2026-04-16,PUL-PLA-9367,Pulseras,Plata 925,44.48,95.98,2,Inocencio Caparrós Fonseca,Álava
2026-03-20,PEN-PLA-3702,Pendientes,Plata 925,36.6,75.97,1,Urbano Fábregas Mora,Valladolid
2025-11-12,PEN-ACE-3666,Pendientes,Acero con Baño PVD,18.81,45.82,1,Jose Carlos Castell Mariscal,Santa Cruz de Tenerife
2025-08-19,PEN-ACE-4944,Pendientes,Acero con Baño PVD,36.82,85.57,1,Crescencia Mercader Robledo,Zamora
2025-09-12,PUL-ACE-6783,Pulseras,Acero 316L,39.92,108.01,2,Basilio Guijarro Carnero,Melilla
2026-02-12,PEN-ACE-3976,Pendientes,Acero 316L,28.65,78.69,1,Clemente Amor Pellicer,Córdoba
2025-08-31,ANI-ACE-9735,Anillos,Acero con Baño PVD,15.44,36.4,1,Ascensión Esparza-Valero,Guipúzcoa
2025-12-07,COL-ACE-8250,Collares,Acero 316L,29.94,83.26,1,Ciríaco del Anaya,Teruel
2026-03-06,COL-ACE-2662,Collares,Acero 316L,40.27,75.86,1,Arturo Madrigal-Tudela,Guadalajara
2025-12-10,COL-ACE-8040,Collares,Acero con Baño PVD,19.59,41.77,1,Mayte Bosch Leal,Santa Cruz de Tenerife
2026-03-06,PEN-ACE-9585,Pendientes,Acero con Baño PVD,41.52,67.57,1,Josep Bernat Ortiz,Salamanca
2026-03-30,PEN-ACE-4957,Pendientes,Acero 316L,24.29,54.31,1,Felicia Pavón Rueda,Zamora
2026-04-04,COL-PLA-1365,Collares,Plata 925,27.43,56.79,2,Ricarda Duran,Huesca
2025-08-04,ANI-ACE-3599,Anillos,Acero con Baño PVD,24.14,69.38,1,Baldomero Barragán,Huesca
2026-01-23,PUL-ACE-8352,Pulseras,Acero con Baño PVD,35.5,74.02,1,Consuela Bolaños Pulido,Pontevedra
2026-02-08,ANI-ACE-8956,Anillos,Acero 316L,19.07,33.54,1,Nico del Coll,Las Palmas
2025-08-19,PUL-ACE-5163,Pulseras,Acero con Baño PVD,22.84,51.98,4,Mauricio Nevado-Gallart,Baleares
2025-09-24,ANI-PLA-1842,Anillos,Plata 925,39.14,102.15,2,Chus Pina Benito,León
2025-09-22,ANI-ACE-8470,Anillos,Acero 316L,26.0,61.16,1,Jose Arias Galvez,Soria
2025-09-12,PEN-ACE-6704,Pendientes,Acero 316L,44.59,106.02,5,Griselda del Conesa,Lleida
2026-02-21,PUL-PLA-9692,Pulseras,Plata 925,16.91,50.39,1,Selena Escolano Salmerón,Salamanca
2026-03-10,COL-PLA-3370,Collares,Plata 925,40.82,107.39,1,Raúl Olivé,Girona
2025-07-18,PEN-ACE-1448,Pendientes,Acero 316L,38.32,81.62,2,Dominga Montero-Cazorla,Lugo
2025-07-22,PUL-ACE-2340,Pulseras,Acero con Baño PVD,43.71,91.69,2,Julia Baeza-Guijarro,Lleida
2025-11-14,PEN-PLA-8490,Pendientes,Plata 925,43.08,97.83,1,Matías Orozco Marcos,Palencia
2026-04-25,PUL-PLA-2640,Pulseras,Plata 925,38.6,74.25,1,Zoraida Cámara Manrique,Almería
2025-06-05,PUL-ACE-7738,Pulseras,Acero 316L,29.73,79.84,1,Aristides de Cuervo,Málaga
2026-03-28,COL-PLA-9676,Collares,Plata 925,17.63,27.06,1,Narcisa Feliu Yáñez,Huesca
2025-06-16,PEN-ACE-4579,Pendientes,Acero 316L,39.91,70.95,1,Dorotea Marqués-Plaza,Lugo
2025-07-06,PEN-ACE-9059,Pendientes,Acero 316L,42.1,86.38,1,Filomena Olivera Torralba,Melilla
2025-08-06,PEN-PLA-8035,Pendientes,Plata 925,25.42,58.17,1,Abigaíl Valencia Gascón,Cantabria
2025-06-08,PUL-PLA-3907,Pulseras,Plata 925,16.61,28.95,1,Eloy de Bru,Soria
2025-06-09,PEN-ACE-9938,Pendientes,Acero 316L,35.41,55.37,2,Victoriano de Pablo,Baleares
2025-08-04,PUL-ACE-9346,Pulseras,Acero con Baño PVD,29.32,52.08,2,Cándido Marín Figuerola,Teruel
2025-09-06,ANI-ACE-5961,Anillos,Acero con Baño PVD,41.04,81.31,1,Nilda Maldonado,Badajoz
2025-10-20,PEN-PLA-6565,Pendientes,Plata 925,16.44,29.07,1,Xavier del Lara,Lleida
2026-01-01,COL-PLA-7178,Collares,Plata 925,26.31,52.58,3,Marcela Millán,Álava
2026-03-09,COL-PLA-7909,Collares,Plata 925,23.8,40.46,2,Cayetana Boix Manzano,Baleares
2025-09-06,PUL-ACE-3864,Pulseras,Acero con Baño PVD,29.91,54.37,1,Plácido Ibañez Rios,Huelva
2025-08-04,PUL-ACE-2584,Pulseras,Acero con Baño PVD,33.97,64.39,1,Octavia Artigas Fabregat,Salamanca
2025-09-21,ANI-ACE-1750,Anillos,Acero con Baño PVD,18.85,46.34,1,Paz de Agudo,Vizcaya
2025-11-08,PUL-PLA-7092,Pulseras,Plata 925,34.43,69.76,1,Esther de Salas,Valladolid
2025-10-15,COL-ACE-5256,Collares,Acero 316L,17.29,31.94,1,Tito Belda Cabañas,Alicante
2025-08-21,COL-ACE-7867,Collares,Acero con Baño PVD,22.91,63.04,1,Eloísa Montes Saura,Melilla
2025-07-28,PEN-PLA-2906,Pendientes,Plata 925,35.29,95.44,2,Enrique Moliner,León
2026-04-15,ANI-PLA-1655,Anillos,Plata 925,25.66,57.04,3,Lupe Amelia Diéguez Navarro,Lugo
2026-03-15,ANI-ACE-4964,Anillos,Acero con Baño PVD,40.99,83.4,1,Dafne Carlota Girona Gras,Málaga
2025-12-25,PEN-PLA-3499,Pendientes,Plata 925,36.52,67.0,1,Mauricio Blanch Canales,Girona
2025-06-22,PEN-PLA-2141,Pendientes,Plata 925,34.98,86.21,3,Máximo Diez-Segarra,Sevilla
2026-02-08,COL-ACE-3294,Collares,Acero 316L,32.89,70.09,2,Amalia Criado-Galván,Jaén
2025-11-23,COL-ACE-2160,Collares,Acero con Baño PVD,18.55,38.08,1,Verónica Jurado Lluch,Tarragona
2025-12-10,PEN-PLA-2102,Pendientes,Plata 925,18.06,34.29,2,Cristina Martin-Iglesia,Cáceres
2025-11-07,COL-ACE-6116,Collares,Acero con Baño PVD,16.43,27.79,1,Paola Bárcena-Beltran,Pontevedra
2025-07-08,PEN-ACE-3099,Pendientes,Acero 316L,22.45,46.07,1,Abigaíl Castilla Lozano,Murcia
2025-09-23,PUL-PLA-2690,Pulseras,Plata 925,44.92,82.76,1,Kike Marcio Montes Machado,Melilla
2026-01-26,PEN-ACE-8165,Pendientes,Acero 316L,16.85,39.82,1,Evelia Asunción Bonet Lasa,Zaragoza
2025-10-23,COL-ACE-6969,Collares,Acero 316L,32.18,70.82,1,Ramona Aparicio Guzmán,Tarragona
2026-03-22,ANI-ACE-5852,Anillos,Acero con Baño PVD,25.2,40.57,1,Isaura Gárate Bernal,Cádiz
2025-12-02,ANI-ACE-6859,Anillos,Acero 316L,43.3,95.27,1,Juan Manuel Enrique Alberto Peinado,Murcia
2025-10-10,COL-PLA-4893,Collares,Plata 925,23.06,55.55,1,Rubén Carreras Cabello,Jaén
2025-08-31,COL-ACE-6825,Collares,Acero con Baño PVD,30.99,53.29,1,Marina Palau Delgado,Teruel
2025-07-18,COL-PLA-7549,Collares,Plata 925,31.32,62.62,5,Dora Palomares Valle,Segovia
2025-10-01,ANI-ACE-1188,Anillos,Acero 316L,16.05,31.91,3,Clarisa Martí,Valencia
2026-04-12,PUL-ACE-9553,Pulseras,Acero con Baño PVD,35.8,82.17,1,Mateo del Perales,Huelva
2025-08-31,PUL-ACE-2769,Pulseras,Acero 316L,22.54,35.08,1,Guiomar del Alcázar,Ourense
2025-06-28,COL-ACE-4388,Collares,Acero 316L,17.04,46.91,1,Jonatan del Gabaldón,Zamora
2025-08-28,PEN-ACE-1303,Pendientes,Acero con Baño PVD,40.92,119.02,2,Luis Herberto Acedo Arana,Álava
2026-05-05,ANI-ACE-6379,Anillos,Acero con Baño PVD,31.5,83.73,1,Graciana Pedrosa Mármol,Vizcaya
2026-05-28,PEN-ACE-8321,Pendientes,Acero 316L,23.3,48.52,1,José Antonio Real Soler,Las Palmas
2026-05-29,COL-ACE-9504,Collares,Acero con Baño PVD,42.83,73.1,2,José María Sierra Aguilar,Las Palmas
2025-08-25,PUL-PLA-8262,Pulseras,Plata 925,42.12,97.75,1,Yolanda del Castillo,La Rioja
2026-03-03,PUL-PLA-7254,Pulseras,Plata 925,19.67,30.19,1,Heriberto del Girona,Almería
2025-07-14,PEN-ACE-4343,Pendientes,Acero con Baño PVD,17.52,45.64,1,Xavier Escamilla Aparicio,Zamora
2026-02-22,PEN-PLA-4151,Pendientes,Plata 925,31.31,84.86,3,Anastasio Sales Hierro,Segovia
2026-03-18,COL-PLA-5272,Collares,Plata 925,23.21,68.97,2,Nicolasa Riba Pujadas,Baleares
2026-04-09,PEN-ACE-9942,Pendientes,Acero 316L,22.25,57.49,1,Severiano Ruiz Nevado,Zamora
2026-04-30,PEN-ACE-3683,Pendientes,Acero con Baño PVD,20.46,57.6,1,Camila Serrano Asensio,Ciudad
2026-05-28,ANI-PLA-6738,Anillos,Plata 925,31.44,79.68,3,Pili Armengol,Baleares
2025-10-31,PUL-ACE-6427,Pulseras,Acero 316L,27.61,61.55,1,Tito Saura Barreda,Granada
2025-12-08,ANI-ACE-2622,Anillos,Acero 316L,20.69,43.98,1,Dominga Moreno Gomis,Ciudad
2026-03-09,COL-PLA-4362,Collares,Plata 925,24.01,62.61,2,Bernabé Priego,Navarra
2026-03-22,ANI-ACE-9208,Anillos,Acero 316L,25.37,41.91,3,Onofre Amores Doménech,Segovia
2026-03-12,PUL-ACE-1557,Pulseras,Acero 316L,30.13,72.15,3,Julio Sanjuan,La Rioja
2026-02-07,PUL-ACE-1017,Pulseras,Acero con Baño PVD,29.16,52.17,1,Adalberto Tejedor Menendez,Soria
2026-04-10,PUL-ACE-1164,Pulseras,Acero con Baño PVD,20.49,51.93,1,Remedios de Pedrosa,Girona
2026-01-21,COL-ACE-8925,Collares,Acero 316L,34.41,53.5,2,Moreno Vila Oller,Burgos
2025-10-21,PEN-ACE-8233,Pendientes,Acero con Baño PVD,23.66,55.63,2,Amada Andrés Amaya,Vizcaya
2026-05-09,PEN-ACE-2700,Pendientes,Acero con Baño PVD,33.19,63.28,1,Tania Soledad Heredia Montero,Lleida
2026-05-15,ANI-ACE-4122,Anillos,Acero 316L,36.84,85.92,3,Candelario Mateos Arcos,Huesca
2025-11-29,ANI-ACE-7188,Anillos,Acero 316L,19.23,45.24,1,Casemiro Agullo Ballester,Valladolid
2026-02-14,PUL-ACE-3243,Pulseras,Acero con Baño PVD,22.54,55.51,3,Maximiano Calisto Bru Sáez,Toledo
2025-06-28,PEN-PLA-8292,Pendientes,Plata 925,38.07,102.71,4,Adelina Galván Salazar,Barcelona
2025-10-21,PEN-ACE-6398,Pendientes,Acero con Baño PVD,27.87,42.04,3,Camilo de Taboada,Málaga
2026-04-29,PUL-ACE-5529,Pulseras,Acero 316L,26.26,71.8,1,Felix del Tejada,Burgos
2025-09-22,PUL-PLA-5404,Pulseras,Plata 925,20.69,45.23,1,Aurelia Jurado,Zaragoza
2025-06-16,ANI-ACE-4800,Anillos,Acero 316L,31.13,88.29,3,Juan Carlos Gálvez Español,Málaga
2025-09-10,ANI-ACE-2124,Anillos,Acero 316L,40.81,114.64,1,Chus Iglesia Bejarano,Salamanca
2025-06-18,ANI-ACE-9835,Anillos,Acero con Baño PVD,17.54,29.8,1,Leyre Hervás Osorio,Málaga
2025-07-10,COL-ACE-8592,Collares,Acero con Baño PVD,17.72,32.58,1,Casandra Carrión Iñiguez,Salamanca
2025-09-02,ANI-ACE-8816,Anillos,Acero con Baño PVD,20.09,44.82,2,Encarna Tamarit Almagro,Toledo
2026-02-25,ANI-PLA-1259,Anillos,Plata 925,35.57,61.5,1,Joel Soriano-Dalmau,Ciudad
2025-08-04,PEN-ACE-7843,Pendientes,Acero 316L,31.32,57.8,1,Jessica Daza Baena,Badajoz
